show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
s0,TV Show,Sample Title 0,Director 0,"Actor 0, Actress 0",Brazil,15 February 2018,1999,G,112 min,Comedy,Synthetic description for sample title 0.
s1,TV Show,Sample Title 1,Director 1,"Actor 1, Actress 1",United Kingdom,9 April 2018,1993,PG,110 min,Drama,Synthetic description for sample title 1.
s2,TV Show,Sample Title 2,Director 2,"Actor 2, Actress 2",United States,15 April 2018,2007,PG,65 min,Drama,Synthetic description for sample title 2.
s3,Movie,Sample Title 3,Director 3,"Actor 3, Actress 3",India,7 April 2023,1995,TV-PG,7 Seasons,Action,Synthetic description for sample title 3.
s4,Movie,Sample Title 4,Director 4,"Actor 4, Actress 4",Brazil,26 January 2011,1995,TV-PG,3 Seasons,Comedy,Synthetic description for sample title 4.
s5,Movie,Sample Title 5,Director 5,"Actor 5, Actress 5",Japan,5 April 2015,2018,TV-MA,80 min,Romance,Synthetic description for sample title 5.
s6,Movie,Sample Title 6,Director 6,"Actor 6, Actress 6",Turkey,21 March 2020,2015,TV-14,120 min,Drama,Synthetic description for sample title 6.
s7,Movie,Sample Title 7,Director 7,"Actor 7, Actress 7",United States,16 April 2021,2003,TV-14,137 min,Action,Synthetic description for sample title 7.
s8,TV Show,Sample Title 8,Director 8,"Actor 8, Actress 8",Turkey,24 February 2018,1992,PG-13,8 Seasons,Drama,Synthetic description for sample title 8.
s9,TV Show,Sample Title 9,Director 9,"Actor 9, Actress 9",Japan,5 January 2020,2022,TV-14,126 min,Drama,Synthetic description for sample title 9.
s10,Movie,Sample Title 10,Director 10,"Actor 10, Actress 0",Brazil,5 January 2012,2023,R,129 min,Sci-Fi,Synthetic description for sample title 10.
s11,Movie,Sample Title 11,Director 11,"Actor 11, Actress 1",Brazil,21 January 2020,1996,TV-14,175 min,Romance,Synthetic description for sample title 11.
s12,Movie,Sample Title 12,Director 12,"Actor 12, Actress 2",India,3 February 2015,2015,PG,10 Seasons,Drama,Synthetic description for sample title 12.
s13,TV Show,Sample Title 13,Director 13,"Actor 13, Actress 3",Turkey,6 April 2012,2017,TV-14,126 min,Drama,Synthetic description for sample title 13.
s14,TV Show,Sample Title 14,Director 14,"Actor 14, Actress 4",India,23 April 2020,2005,TV-MA,8 Seasons,Horror,Synthetic description for sample title 14.
s15,Movie,Sample Title 15,Director 15,"Actor 0, Actress 5",India,9 April 2023,2009,TV-PG,2 Seasons,Horror,Synthetic description for sample title 15.
s16,TV Show,Sample Title 16,Director 16,"Actor 1, Actress 6",Turkey,27 April 2013,2000,TV-PG,10 Seasons,Documentary,Synthetic description for sample title 16.
s17,TV Show,Sample Title 17,Director 17,"Actor 2, Actress 7",Brazil,24 February 2017,2018,PG-13,3 Seasons,Action,Synthetic description for sample title 17.
s18,TV Show,Sample Title 18,Director 18,"Actor 3, Actress 8",Turkey,18 March 2012,2000,PG,137 min,Documentary,Synthetic description for sample title 18.
s19,Movie,Sample Title 19,Director 19,"Actor 4, Actress 9",Canada,6 January 2022,2018,TV-14,4 Seasons,Horror,Synthetic description for sample title 19.
s20,TV Show,Sample Title 20,Director 0,"Actor 5, Actress 0",United Kingdom,6 January 2021,2019,TV-PG,3 Seasons,Horror,Synthetic description for sample title 20.
s21,Movie,Sample Title 21,Director 1,"Actor 6, Actress 1",United States,11 April 2017,1992,R,157 min,Romance,Synthetic description for sample title 21.
s22,TV Show,Sample Title 22,Director 2,"Actor 7, Actress 2",Japan,16 January 2016,1997,PG,10 Seasons,Horror,Synthetic description for sample title 22.
s23,Movie,Sample Title 23,Director 3,"Actor 8, Actress 3",United Kingdom,10 April 2018,1994,R,107 min,Horror,Synthetic description for sample title 23.
s24,Movie,Sample Title 24,Director 4,"Actor 9, Actress 4",United States,4 April 2017,2008,TV-PG,66 min,Drama,Synthetic description for sample title 24.
s25,Movie,Sample Title 25,Director 5,"Actor 10, Actress 5",Canada,27 April 2017,1999,PG-13,6 Seasons,Comedy,Synthetic description for sample title 25.
s26,TV Show,Sample Title 26,Director 6,"Actor 11, Actress 6",India,28 February 2013,2008,TV-PG,1 Seasons,Documentary,Synthetic description for sample title 26.
s27,Movie,Sample Title 27,Director 7,"Actor 12, Actress 7",United Kingdom,22 March 2022,2007,PG,117 min,Action,Synthetic description for sample title 27.
s28,Movie,Sample Title 28,Director 8,"Actor 13, Actress 8",India,23 February 2020,2015,TV-MA,158 min,Comedy,Synthetic description for sample title 28.
s29,Movie,Sample Title 29,Director 9,"Actor 14, Actress 9",Turkey,24 April 2014,2014,TV-MA,127 min,Romance,Synthetic description for sample title 29.
s30,Movie,Sample Title 30,Director 10,"Actor 0, Actress 0",United Kingdom,22 April 2019,2019,TV-PG,8 Seasons,Comedy,Synthetic description for sample title 30.
s31,Movie,Sample Title 31,Director 11,"Actor 1, Actress 1",Turkey,13 February 2022,2009,PG-13,123 min,Comedy,Synthetic description for sample title 31.
s32,Movie,Sample Title 32,Director 12,"Actor 2, Actress 2",United Kingdom,10 April 2015,2004,PG,10 Seasons,Sci-Fi,Synthetic description for sample title 32.
s33,TV Show,Sample Title 33,Director 13,"Actor 3, Actress 3",Turkey,4 January 2014,2009,PG-13,4 Seasons,Documentary,Synthetic description for sample title 33.
s34,Movie,Sample Title 34,Director 14,"Actor 4, Actress 4",Turkey,15 February 2018,2001,TV-14,4 Seasons,Horror,Synthetic description for sample title 34.
s35,TV Show,Sample Title 35,Director 15,"Actor 5, Actress 5",United States,6 March 2014,2018,R,4 Seasons,Romance,Synthetic description for sample title 35.
s36,TV Show,Sample Title 36,Director 16,"Actor 6, Actress 6",Canada,16 March 2010,1990,PG,4 Seasons,Documentary,Synthetic description for sample title 36.
s37,Movie,Sample Title 37,Director 17,"Actor 7, Actress 7",Japan,11 February 2023,2002,TV-14,3 Seasons,Romance,Synthetic description for sample title 37.
s38,TV Show,Sample Title 38,Director 18,"Actor 8, Actress 8",Turkey,14 January 2010,2005,TV-PG,1 Seasons,Documentary,Synthetic description for sample title 38.
s39,Movie,Sample Title 39,Director 19,"Actor 9, Actress 9",Canada,19 February 2014,2016,PG,8 Seasons,Drama,Synthetic description for sample title 39.
s40,TV Show,Sample Title 40,Director 0,"Actor 10, Actress 0",Turkey,22 March 2017,2011,G,1 Seasons,Sci-Fi,Synthetic description for sample title 40.
s41,Movie,Sample Title 41,Director 1,"Actor 11, Actress 1",Brazil,3 April 2016,1991,G,5 Seasons,Documentary,Synthetic description for sample title 41.
s42,TV Show,Sample Title 42,Director 2,"Actor 12, Actress 2",Japan,12 March 2019,1995,TV-MA,149 min,Drama,Synthetic description for sample title 42.
s43,TV Show,Sample Title 43,Director 3,"Actor 13, Actress 3",Brazil,9 April 2014,1999,PG-13,130 min,Comedy,Synthetic description for sample title 43.
s44,TV Show,Sample Title 44,Director 4,"Actor 14, Actress 4",United States,5 February 2022,2016,TV-MA,100 min,Drama,Synthetic description for sample title 44.
s45,TV Show,Sample Title 45,Director 5,"Actor 0, Actress 5",United States,25 February 2010,1990,TV-MA,6 Seasons,Comedy,Synthetic description for sample title 45.
s46,Movie,Sample Title 46,Director 6,"Actor 1, Actress 6",Japan,14 April 2011,2022,R,65 min,Comedy,Synthetic description for sample title 46.
s47,Movie,Sample Title 47,Director 7,"Actor 2, Actress 7",Canada,9 March 2018,2004,G,112 min,Drama,Synthetic description for sample title 47.
s48,TV Show,Sample Title 48,Director 8,"Actor 3, Actress 8",United Kingdom,24 April 2022,1996,R,4 Seasons,Sci-Fi,Synthetic description for sample title 48.
s49,Movie,Sample Title 49,Director 9,"Actor 4, Actress 9",Canada,8 January 2017,2018,R,1 Seasons,Sci-Fi,Synthetic description for sample title 49.
s50,TV Show,Sample Title 50,Director 10,"Actor 5, Actress 0",United States,6 January 2020,2013,G,7 Seasons,Drama,Synthetic description for sample title 50.
s51,Movie,Sample Title 51,Director 11,"Actor 6, Actress 1",Japan,18 February 2016,2004,R,3 Seasons,Sci-Fi,Synthetic description for sample title 51.
s52,Movie,Sample Title 52,Director 12,"Actor 7, Actress 2",Canada,26 February 2017,2011,G,10 Seasons,Romance,Synthetic description for sample title 52.
s53,Movie,Sample Title 53,Director 13,"Actor 8, Actress 3",Turkey,5 April 2013,2001,PG-13,121 min,Documentary,Synthetic description for sample title 53.
s54,Movie,Sample Title 54,Director 14,"Actor 9, Actress 4",United States,7 January 2014,1998,TV-MA,155 min,Horror,Synthetic description for sample title 54.
s55,Movie,Sample Title 55,Director 15,"Actor 10, Actress 5",Canada,25 March 2019,2003,PG-13,157 min,Horror,Synthetic description for sample title 55.
s56,Movie,Sample Title 56,Director 16,"Actor 11, Actress 6",India,22 February 2011,2017,TV-MA,3 Seasons,Documentary,Synthetic description for sample title 56.
s57,Movie,Sample Title 57,Director 17,"Actor 12, Actress 7",Turkey,12 February 2014,2021,R,169 min,Comedy,Synthetic description for sample title 57.
s58,Movie,Sample Title 58,Director 18,"Actor 13, Actress 8",India,1 February 2016,1991,PG,3 Seasons,Sci-Fi,Synthetic description for sample title 58.
s59,Movie,Sample Title 59,Director 19,"Actor 14, Actress 9",Canada,22 February 2020,2007,TV-MA,123 min,Horror,Synthetic description for sample title 59.
s60,Movie,Sample Title 60,Director 0,"Actor 0, Actress 0",Japan,24 February 2017,2015,R,9 Seasons,Documentary,Synthetic description for sample title 60.
s61,Movie,Sample Title 61,Director 1,"Actor 1, Actress 1",Turkey,21 February 2012,1993,TV-MA,5 Seasons,Documentary,Synthetic description for sample title 61.
s62,TV Show,Sample Title 62,Director 2,"Actor 2, Actress 2",Canada,1 March 2019,2007,R,144 min,Action,Synthetic description for sample title 62.
s63,Movie,Sample Title 63,Director 3,"Actor 3, Actress 3",Turkey,22 January 2014,1998,PG,5 Seasons,Sci-Fi,Synthetic description for sample title 63.
s64,Movie,Sample Title 64,Director 4,"Actor 4, Actress 4",Canada,26 February 2019,2015,PG,106 min,Horror,Synthetic description for sample title 64.
s65,TV Show,Sample Title 65,Director 5,"Actor 5, Actress 5",United Kingdom,26 January 2022,2009,TV-MA,174 min,Sci-Fi,Synthetic description for sample title 65.
s66,Movie,Sample Title 66,Director 6,"Actor 6, Actress 6",India,8 April 2020,2015,G,3 Seasons,Sci-Fi,Synthetic description for sample title 66.
s67,Movie,Sample Title 67,Director 7,"Actor 7, Actress 7",United Kingdom,8 April 2010,1995,TV-PG,147 min,Drama,Synthetic description for sample title 67.
s68,Movie,Sample Title 68,Director 8,"Actor 8, Actress 8",Turkey,26 April 2022,2018,TV-PG,7 Seasons,Action,Synthetic description for sample title 68.
s69,TV Show,Sample Title 69,Director 9,"Actor 9, Actress 9",India,24 January 2014,2014,PG-13,167 min,Romance,Synthetic description for sample title 69.
s70,TV Show,Sample Title 70,Director 10,"Actor 10, Actress 0",Brazil,3 January 2011,2008,PG-13,83 min,Drama,Synthetic description for sample title 70.
s71,TV Show,Sample Title 71,Director 11,"Actor 11, Actress 1",United States,3 April 2018,2018,TV-MA,9 Seasons,Horror,Synthetic description for sample title 71.
s72,TV Show,Sample Title 72,Director 12,"Actor 12, Actress 2",Canada,21 April 2020,1992,PG-13,156 min,Drama,Synthetic description for sample title 72.
s73,TV Show,Sample Title 73,Director 13,"Actor 13, Actress 3",Turkey,14 January 2012,1999,R,149 min,Drama,Synthetic description for sample title 73.
s74,TV Show,Sample Title 74,Director 14,"Actor 14, Actress 4",Brazil,23 April 2011,2002,TV-14,5 Seasons,Horror,Synthetic description for sample title 74.
s75,Movie,Sample Title 75,Director 15,"Actor 0, Actress 5",United States,26 January 2021,2005,R,121 min,Documentary,Synthetic description for sample title 75.
s76,TV Show,Sample Title 76,Director 16,"Actor 1, Actress 6",United States,2 March 2016,2002,R,2 Seasons,Horror,Synthetic description for sample title 76.
s77,Movie,Sample Title 77,Director 17,"Actor 2, Actress 7",India,10 January 2022,2019,PG-13,139 min,Horror,Synthetic description for sample title 77.
s78,TV Show,Sample Title 78,Director 18,"Actor 3, Actress 8",Japan,25 February 2010,2013,R,6 Seasons,Action,Synthetic description for sample title 78.
s79,TV Show,Sample Title 79,Director 19,"Actor 4, Actress 9",Japan,26 January 2015,2003,R,9 Seasons,Action,Synthetic description for sample title 79.
s80,Movie,Sample Title 80,Director 0,"Actor 5, Actress 0",Canada,12 January 2012,2006,PG-13,128 min,Sci-Fi,Synthetic description for sample title 80.
s81,Movie,Sample Title 81,Director 1,"Actor 6, Actress 1",India,3 January 2010,2007,PG-13,8 Seasons,Comedy,Synthetic description for sample title 81.
s82,Movie,Sample Title 82,Director 2,"Actor 7, Actress 2",United Kingdom,25 April 2020,1994,PG,9 Seasons,Horror,Synthetic description for sample title 82.
s83,Movie,Sample Title 83,Director 3,"Actor 8, Actress 3",Brazil,12 January 2020,1995,TV-MA,8 Seasons,Drama,Synthetic description for sample title 83.
s84,Movie,Sample Title 84,Director 4,"Actor 9, Actress 4",United States,23 February 2022,2019,PG-13,7 Seasons,Comedy,Synthetic description for sample title 84.
s85,TV Show,Sample Title 85,Director 5,"Actor 10, Actress 5",Japan,9 April 2016,1991,TV-14,180 min,Documentary,Synthetic description for sample title 85.
s86,Movie,Sample Title 86,Director 6,"Actor 11, Actress 6",Japan,10 January 2019,2001,R,60 min,Horror,Synthetic description for sample title 86.
s87,TV Show,Sample Title 87,Director 7,"Actor 12, Actress 7",Turkey,17 April 2016,2014,TV-PG,174 min,Drama,Synthetic description for sample title 87.
s88,TV Show,Sample Title 88,Director 8,"Actor 13, Actress 8",Japan,9 April 2018,2020,G,5 Seasons,Action,Synthetic description for sample title 88.
s89,TV Show,Sample Title 89,Director 9,"Actor 14, Actress 9",Brazil,23 February 2017,1991,PG-13,7 Seasons,Documentary,Synthetic description for sample title 89.
s90,TV Show,Sample Title 90,Director 10,"Actor 0, Actress 0",United States,10 February 2019,2006,G,1 Seasons,Comedy,Synthetic description for sample title 90.
s91,TV Show,Sample Title 91,Director 11,"Actor 1, Actress 1",United Kingdom,6 February 2014,2018,TV-MA,85 min,Action,Synthetic description for sample title 91.
s92,Movie,Sample Title 92,Director 12,"Actor 2, Actress 2",Brazil,27 January 2021,1990,TV-14,3 Seasons,Action,Synthetic description for sample title 92.
s93,TV Show,Sample Title 93,Director 13,"Actor 3, Actress 3",India,13 March 2019,1994,TV-PG,8 Seasons,Comedy,Synthetic description for sample title 93.
s94,Movie,Sample Title 94,Director 14,"Actor 4, Actress 4",India,22 February 2015,2008,G,150 min,Documentary,Synthetic description for sample title 94.
s95,Movie,Sample Title 95,Director 15,"Actor 5, Actress 5",India,13 February 2019,1990,TV-MA,9 Seasons,Sci-Fi,Synthetic description for sample title 95.
s96,TV Show,Sample Title 96,Director 16,"Actor 6, Actress 6",Canada,10 February 2021,2003,PG-13,9 Seasons,Horror,Synthetic description for sample title 96.
s97,TV Show,Sample Title 97,Director 17,"Actor 7, Actress 7",India,25 March 2018,2021,PG,6 Seasons,Action,Synthetic description for sample title 97.
s98,Movie,Sample Title 98,Director 18,"Actor 8, Actress 8",Turkey,9 March 2010,1993,TV-14,143 min,Documentary,Synthetic description for sample title 98.
s99,TV Show,Sample Title 99,Director 19,"Actor 9, Actress 9",India,15 February 2015,1993,G,97 min,Comedy,Synthetic description for sample title 99.
s100,TV Show,Sample Title 100,Director 0,"Actor 10, Actress 0",United States,26 March 2022,1992,R,92 min,Comedy,Synthetic description for sample title 100.
s101,Movie,Sample Title 101,Director 1,"Actor 11, Actress 1",India,22 March 2016,2012,TV-14,123 min,Sci-Fi,Synthetic description for sample title 101.
s102,Movie,Sample Title 102,Director 2,"Actor 12, Actress 2",India,27 March 2020,2016,PG,117 min,Drama,Synthetic description for sample title 102.
s103,TV Show,Sample Title 103,Director 3,"Actor 13, Actress 3",Turkey,8 March 2012,1999,TV-PG,103 min,Comedy,Synthetic description for sample title 103.
s104,TV Show,Sample Title 104,Director 4,"Actor 14, Actress 4",United States,28 January 2023,2006,PG,3 Seasons,Documentary,Synthetic description for sample title 104.
s105,Movie,Sample Title 105,Director 5,"Actor 0, Actress 5",United States,10 March 2012,2000,TV-MA,72 min,Action,Synthetic description for sample title 105.
s106,Movie,Sample Title 106,Director 6,"Actor 1, Actress 6",Brazil,22 January 2011,1991,R,6 Seasons,Romance,Synthetic description for sample title 106.
s107,TV Show,Sample Title 107,Director 7,"Actor 2, Actress 7",Turkey,14 February 2021,2013,TV-MA,80 min,Horror,Synthetic description for sample title 107.
s108,TV Show,Sample Title 108,Director 8,"Actor 3, Actress 8",United Kingdom,4 February 2013,1997,TV-MA,67 min,Romance,Synthetic description for sample title 108.
s109,Movie,Sample Title 109,Director 9,"Actor 4, Actress 9",United States,28 April 2015,2021,TV-14,157 min,Romance,Synthetic description for sample title 109.
s110,TV Show,Sample Title 110,Director 10,"Actor 5, Actress 0",United Kingdom,25 February 2016,1997,G,118 min,Drama,Synthetic description for sample title 110.
s111,Movie,Sample Title 111,Director 11,"Actor 6, Actress 1",India,1 January 2018,1998,PG,5 Seasons,Drama,Synthetic description for sample title 111.
s112,Movie,Sample Title 112,Director 12,"Actor 7, Actress 2",Japan,6 February 2015,1992,G,121 min,Sci-Fi,Synthetic description for sample title 112.
s113,Movie,Sample Title 113,Director 13,"Actor 8, Actress 3",United States,8 January 2012,2020,G,3 Seasons,Documentary,Synthetic description for sample title 113.
s114,Movie,Sample Title 114,Director 14,"Actor 9, Actress 4",Canada,21 February 2012,2008,G,137 min,Comedy,Synthetic description for sample title 114.
s115,Movie,Sample Title 115,Director 15,"Actor 10, Actress 5",India,16 February 2017,2014,G,135 min,Documentary,Synthetic description for sample title 115.
s116,Movie,Sample Title 116,Director 16,"Actor 11, Actress 6",Canada,16 January 2023,1994,G,137 min,Comedy,Synthetic description for sample title 116.
s117,Movie,Sample Title 117,Director 17,"Actor 12, Actress 7",Japan,22 April 2013,2004,TV-MA,3 Seasons,Horror,Synthetic description for sample title 117.
s118,Movie,Sample Title 118,Director 18,"Actor 13, Actress 8",Brazil,11 January 2017,1990,TV-PG,108 min,Documentary,Synthetic description for sample title 118.
s119,Movie,Sample Title 119,Director 19,"Actor 14, Actress 9",India,27 March 2015,2021,PG,175 min,Drama,Synthetic description for sample title 119.
s120,TV Show,Sample Title 120,Director 0,"Actor 0, Actress 0",Japan,13 March 2013,2002,PG,1 Seasons,Horror,Synthetic description for sample title 120.
s121,Movie,Sample Title 121,Director 1,"Actor 1, Actress 1",United States,11 March 2023,1992,TV-14,139 min,Horror,Synthetic description for sample title 121.
s122,TV Show,Sample Title 122,Director 2,"Actor 2, Actress 2",India,16 March 2012,1990,G,10 Seasons,Comedy,Synthetic description for sample title 122.
s123,TV Show,Sample Title 123,Director 3,"Actor 3, Actress 3",United Kingdom,23 March 2018,1991,PG,65 min,Comedy,Synthetic description for sample title 123.
s124,Movie,Sample Title 124,Director 4,"Actor 4, Actress 4",Turkey,19 April 2022,2018,TV-14,177 min,Documentary,Synthetic description for sample title 124.
s125,Movie,Sample Title 125,Director 5,"Actor 5, Actress 5",Japan,14 February 2010,2001,TV-MA,104 min,Horror,Synthetic description for sample title 125.
s126,Movie,Sample Title 126,Director 6,"Actor 6, Actress 6",Brazil,1 April 2010,2002,G,151 min,Drama,Synthetic description for sample title 126.
s127,TV Show,Sample Title 127,Director 7,"Actor 7, Actress 7",India,3 April 2010,2016,PG,67 min,Horror,Synthetic description for sample title 127.
s128,TV Show,Sample Title 128,Director 8,"Actor 8, Actress 8",Turkey,28 April 2019,2012,R,2 Seasons,Romance,Synthetic description for sample title 128.
s129,TV Show,Sample Title 129,Director 9,"Actor 9, Actress 9",Brazil,13 February 2011,2004,TV-PG,3 Seasons,Romance,Synthetic description for sample title 129.
s130,TV Show,Sample Title 130,Director 10,"Actor 10, Actress 0",India,15 March 2010,2001,TV-MA,145 min,Comedy,Synthetic description for sample title 130.
s131,TV Show,Sample Title 131,Director 11,"Actor 11, Actress 1",Canada,4 February 2015,2001,PG-13,170 min,Sci-Fi,Synthetic description for sample title 131.
s132,TV Show,Sample Title 132,Director 12,"Actor 12, Actress 2",Brazil,10 January 2017,1995,TV-14,126 min,Action,Synthetic description for sample title 132.
s133,Movie,Sample Title 133,Director 13,"Actor 13, Actress 3",United Kingdom,5 February 2014,2010,G,1 Seasons,Horror,Synthetic description for sample title 133.
s134,Movie,Sample Title 134,Director 14,"Actor 14, Actress 4",India,18 March 2016,1991,TV-14,1 Seasons,Comedy,Synthetic description for sample title 134.
s135,Movie,Sample Title 135,Director 15,"Actor 0, Actress 5",Turkey,12 January 2021,1990,PG,3 Seasons,Romance,Synthetic description for sample title 135.
s136,TV Show,Sample Title 136,Director 16,"Actor 1, Actress 6",Turkey,6 March 2022,2002,PG-13,8 Seasons,Horror,Synthetic description for sample title 136.
s137,TV Show,Sample Title 137,Director 17,"Actor 2, Actress 7",United Kingdom,2 February 2012,1996,TV-MA,116 min,Drama,Synthetic description for sample title 137.
s138,TV Show,Sample Title 138,Director 18,"Actor 3, Actress 8",Canada,17 February 2020,2002,TV-PG,97 min,Documentary,Synthetic description for sample title 138.
s139,Movie,Sample Title 139,Director 19,"Actor 4, Actress 9",Turkey,10 April 2021,2001,TV-PG,173 min,Romance,Synthetic description for sample title 139.
s140,Movie,Sample Title 140,Director 0,"Actor 5, Actress 0",Japan,26 January 2012,1995,TV-MA,86 min,Drama,Synthetic description for sample title 140.
s141,Movie,Sample Title 141,Director 1,"Actor 6, Actress 1",India,24 April 2012,1990,G,175 min,Action,Synthetic description for sample title 141.
s142,TV Show,Sample Title 142,Director 2,"Actor 7, Actress 2",India,24 January 2020,2012,PG-13,120 min,Action,Synthetic description for sample title 142.
s143,TV Show,Sample Title 143,Director 3,"Actor 8, Actress 3",Turkey,27 January 2022,2022,PG,74 min,Comedy,Synthetic description for sample title 143.
s144,TV Show,Sample Title 144,Director 4,"Actor 9, Actress 4",Brazil,7 April 2023,2016,G,3 Seasons,Sci-Fi,Synthetic description for sample title 144.
s145,TV Show,Sample Title 145,Director 5,"Actor 10, Actress 5",United States,20 February 2016,1994,PG,10 Seasons,Drama,Synthetic description for sample title 145.
s146,Movie,Sample Title 146,Director 6,"Actor 11, Actress 6",United States,25 April 2017,2008,TV-14,173 min,Documentary,Synthetic description for sample title 146.
s147,Movie,Sample Title 147,Director 7,"Actor 12, Actress 7",Brazil,1 April 2011,2006,TV-14,137 min,Romance,Synthetic description for sample title 147.
s148,TV Show,Sample Title 148,Director 8,"Actor 13, Actress 8",United States,5 April 2021,2014,PG,2 Seasons,Horror,Synthetic description for sample title 148.
s149,Movie,Sample Title 149,Director 9,"Actor 14, Actress 9",India,17 February 2013,2016,PG-13,168 min,Comedy,Synthetic description for sample title 149.
